TEMPERATURE,HUMIDITY,ALTITUDE,PRESSURE,LIGHT,RAIN,CLIMATE_PREDICTION
29.481,52.511,30864.944,2.33,826.664,359.151,Summer
25.303,67.765,30905.572,2.329,784.118,766.359,Summer
35.496,76.747,30375.047,2.404,245.866,734.287,Breeze
38.308,48.582,30526.152,2.45,405.21,712.911,Breeze
28.07,81.281,30281.021,2.413,45.37,767.536,Monsoon
29.785,80.08,30014.716,2.475,597.285,587.78,Breeze
27.89,75.005,30479.451,2.363,330.607,239.456,Summer
38.021,61.742,30129.359,2.419,42.697,998.522,Summer
25.131,43.069,30183.325,2.432,484.434,902.926,Summer
33.174,75.33,30480.711,2.356,1021.751,488.037,Summer
37.191,81.675,30867.038,2.379,1018.039,577.293,Breeze
27.608,57.753,30844.633,2.418,428.15,454.196,Monsoon
33.26,74.591,30965.068,2.304,510.62,674.18,Breeze
25.709,45.73,30482.681,2.477,289.669,758.026,Summer
36.404,74.218,30552.009,2.322,103.089,308.407,Monsoon
28.842,46.006,30822.116,2.31,772.502,489.517,Monsoon
38.843,68.836,30699.673,2.343,886.056,676.211,Summer
37.908,69.292,30182.822,2.4,971.712,989.218,Summer
35.255,56.295,30398.175,2.366,1030.757,392.387,Breeze
31.956,46.481,30929.159,2.388,1010.081,770.5,Monsoon
35.732,84.771,30146.127,2.317,59.3,412.005,Monsoon
26.829,66.565,30209.356,2.347,1076.562,183.106,Breeze
29.343,68.509,30400.66,2.32,436.067,793.131,Summer
25.377,70.061,30939.874,2.346,978.135,684.376,Monsoon
34.03,82.206,30113.818,2.441,501.613,562.906,Breeze
36.278,45.651,30672.942,2.415,481.744,707.532,Monsoon
38.248,82.305,30132.123,2.367,41.974,891.37,Breeze
34.611,53.546,30524.501,2.352,86.112,780.86,Monsoon
35.249,46.43,30536.564,2.5,748.269,872.036,Summer
37.536,71.92,30042.626,2.454,1033.275,361.017,Summer
38.109,85.987,30954.118,2.464,270.108,820.435,Monsoon
31.878,45.519,30806.623,2.305,130.493,424.008,Monsoon
26.537,61.749,30302.854,2.312,258.827,118.587,Monsoon
31.53,66.311,30130.624,2.443,257.182,138.866,Breeze
32.785,54.093,30345.627,2.338,343.655,757.319,Summer
33.842,86.246,30894.277,2.385,131.376,344.718,Breeze
38.85,71.202,30132.684,2.337,282.014,376.826,Summer
37.846,80.151,30349.317,2.335,1015.764,660.32,Summer
30.549,61.294,30494.304,2.322,982.535,767.358,Breeze
26.588,58.574,30032.884,2.419,368.446,602.996,Summer
28.007,67.339,30268.034,2.448,1096.676,735.735,Summer
27.433,62.152,30595.634,2.311,349.238,946.948,Monsoon
29.984,74.458,30323.965,2.355,802.358,868.744,Breeze
37.271,54.696,30870.525,2.432,719.089,316.723,Breeze
31.132,62.782,30936.765,2.378,99.073,916.112,Summer
32.942,82.386,30441.543,2.441,396.258,367.538,Breeze
27.508,76.269,30532.02,2.452,1048.105,694.529,Summer
31.9,50.395,30630.808,2.306,84.428,887.245,Summer
37.231,82.022,30664.535,2.376,217.126,661.102,Breeze
35.828,68.917,30063.258,2.446,1068.912,825.577,Summer
26.137,72.889,30053.679,2.376,72.578,934.612,Monsoon
37.069,55.947,30865.588,2.301,507.87,970.243,Breeze
28.834,62.428,30219.872,2.367,1012.636,469.57,Breeze
34.32,78.5,30584.106,2.475,1039.736,993.491,Summer
27.049,57.55,30624.672,2.49,1077.873,344.513,Breeze
34.445,50.263,30164.464,2.412,545.014,515.968,Breeze
25.5,59.645,30761.597,2.361,122.534,784.635,Monsoon
33.409,46.046,30865.946,2.393,856.793,973.138,Monsoon
34.043,74.586,30285.378,2.347,788.612,147.647,Breeze
28.423,49.501,30877.84,2.334,650.186,951.078,Summer
38.118,55.546,30081.037,2.399,980.412,998.808,Monsoon
25.644,81.768,30800.464,2.447,1005.38,918.621,Monsoon
37.484,66.782,30640.111,2.344,761.071,197.546,Monsoon
30.347,57.139,30583.111,2.482,149.947,856.63,Summer
34.995,67.097,30230.133,2.334,132.212,675.786,Breeze
34.122,52.604,30361.842,2.412,467.234,108.574,Breeze
27.355,44.108,30910.304,2.455,343.19,985.939,Monsoon
29.466,69.564,30465.741,2.343,172.292,235.471,Breeze
32.415,74.422,30594.38,2.359,683.974,457.139,Monsoon
36.851,81.71,30935.852,2.31,761.377,127.245,Monsoon
38.368,76.963,30466.488,2.489,776.826,378.567,Summer
25.288,83.774,30388.269,2.397,217.547,611.493,Summer
29.936,86.382,30893.202,2.313,357.253,937.768,Monsoon
34.354,75.777,30910.888,2.466,242.987,991.328,Summer
32.388,81.189,30354.638,2.414,673.428,481.022,Summer
38.202,72.644,30591.99,2.311,636.777,485.365,Summer
25.238,50.521,30963.728,2.39,568.545,244.309,Breeze
31.128,50.995,30055.471,2.387,346.781,548.523,Breeze
34.363,47.851,30039.802,2.329,283.647,946.073,Summer
28.046,84.491,30516.581,2.384,982.736,248.857,Breeze
35.162,72.601,30291.24,2.357,82.274,339.826,Monsoon
26.137,77.756,30581.85,2.44,732.346,902.186,Monsoon
31.315,57.571,30724.295,2.301,50.947,663.788,Summer
34.467,63.259,30069.074,2.321,237.407,397.457,Summer
28.735,44.75,30882.367,2.484,339.747,831.47,Breeze
26.034,82.116,30276.887,2.387,978.54,198.068,Summer
38.398,80.532,30381.347,2.335,177.376,872.516,Summer
37.794,77.532,30337.037,2.459,1033.453,566.201,Monsoon
37.969,45.565,30839.835,2.47,902.538,781.241,Monsoon
38.699,50.667,30170.652,2.342,756.58,566.552,Breeze
27.586,57.704,30028.673,2.443,470.568,321.646,Breeze
27.209,54.575,30971.802,2.423,998.625,676.764,Breeze
25.479,79.892,30980.632,2.449,594.912,239.312,Summer
37.486,51.573,30257.693,2.458,427.192,306.883,Summer
35.539,66.413,30009.353,2.432,656.618,594.393,Summer
33.866,68.141,30645.917,2.491,278.526,450.985,Summer
37.987,61.701,30648.463,2.473,321.98,770.682,Monsoon
33.051,53.59,30940.357,2.346,1013.667,625.215,Breeze
26.816,85.253,30298.471,2.483,879.502,443.202,Breeze
27.476,61.19,30189.504,2.372,579.446,394.057,Monsoon
26.851,75.002,30616.382,2.445,475.727,921.919,Monsoon
29.307,51.098,30563.671,2.47,894.1,136.074,Summer
30.313,79.204,30717.737,2.387,640.581,721.928,Breeze
36.156,52.499,30885.127,2.31,474.086,452.709,Breeze
27.678,72.713,30559.745,2.49,581.53,439.622,Monsoon
35.155,65.286,30150.075,2.314,278.999,686.689,Breeze
31.877,49.449,30598.129,2.37,246.108,865.418,Monsoon
38.995,44.098,30374.102,2.419,1088.327,751.971,Breeze
35.872,83.953,30452.735,2.324,1067.463,703.1,Monsoon
38.565,48.53,30959.484,2.468,480.285,546.582,Summer
29.793,74.018,30554.947,2.341,581.33,522.261,Breeze
26.723,71.718,30149.647,2.497,915.098,514.644,Summer
32.083,58.036,30443.159,2.483,806.644,230.903,Monsoon
26.739,51.157,30228.431,2.421,136.518,603.553,Breeze
31.894,50.846,30135.482,2.432,430.834,383.918,Breeze
28.779,68.754,30712.234,2.407,297.662,656.405,Summer
31.875,67.065,30628.569,2.378,1092.114,580.902,Summer
38.295,81.541,30497.789,2.37,831.111,945.932,Monsoon
29.046,71.16,30423.238,2.478,81.109,491.437,Summer
38.908,79.048,30322.218,2.415,993.041,697.957,Breeze
28.211,44.426,30088.009,2.465,1022.915,633.522,Breeze
27.914,72.524,30299.27,2.403,386.598,715.955,Breeze
32.627,53.283,30838.395,2.361,716.916,340.277,Breeze
36.789,54.125,30783.675,2.318,759.782,331.524,Summer
35.493,74.705,30972.318,2.365,810.616,603.71,Summer
35.13,77.911,30656.067,2.476,772.053,864.155,Monsoon
28.957,59.356,30553.64,2.442,628.898,748.008,Summer
25.315,77.763,30296.044,2.457,1050.613,540.041,Monsoon
27.264,62.525,30076.86,2.455,578.24,329.585,Summer
29.893,80.736,30618.018,2.324,148.677,783.413,Summer
38.604,44.096,30488.162,2.332,116.055,933.622,Breeze
37.877,46.674,30759.075,2.363,49.663,291.718,Summer
27.809,77.159,30411.858,2.36,487.878,819.184,Monsoon
35.159,70.46,30985.551,2.313,322.363,255.201,Breeze
33.106,67.597,30397.612,2.331,987.884,910.705,Summer
25.698,70.015,30333.072,2.471,957.848,677.845,Breeze
30.204,83.928,30870.986,2.418,926.491,262.909,Breeze
31.805,71.844,30395.506,2.368,957.988,132.634,Breeze
34.346,71.489,30870.897,2.405,348.438,725.155,Monsoon
29.129,76.417,30027.354,2.352,485.946,645.492,Monsoon
38.073,81.131,30692.593,2.417,363.56,650.186,Summer
31.326,54.524,30071.853,2.315,122.107,534.036,Breeze
28.479,70.137,30148.232,2.481,1018.73,652.999,Summer
29.43,68.695,30700.075,2.348,689.041,885.901,Monsoon
35.526,48.933,30289.723,2.464,171.831,956.801,Breeze
33.964,65.894,30210.433,2.432,250.483,410.057,Monsoon
35.39,46.06,30801.526,2.405,512.305,539.085,Breeze
29.093,51.138,30946.247,2.486,85.527,345.725,Breeze
29.576,83.17,30232.381,2.331,321.031,470.427,Breeze
30.554,48.247,30317.196,2.324,782.688,816.3,Summer
27.64,68.472,30714.073,2.364,1014.835,482.49,Monsoon
34.675,57.233,30815.293,2.466,1023.743,452.476,Monsoon
29.611,67.434,30999.162,2.307,586.431,865.1,Monsoon
29.567,53.339,30273.371,2.348,364.006,101.145,Breeze
28.771,62.553,30556.619,2.385,1015.198,866.969,Summer
31.34,81.163,30134.019,2.443,871.699,263.267,Summer
35.808,59.554,30330.84,2.36,658.21,347.061,Summer
36.699,58.533,30044.969,2.39,922.972,425.448,Summer
36.263,62.629,30210.839,2.367,520.948,892.587,Breeze
33.697,47.422,30506.545,2.318,150.048,917.813,Breeze
28.926,60.043,30163.759,2.448,1033.915,695.061,Summer
35.288,43.304,30889.383,2.392,601.388,495.499,Summer
25.551,65.149,30710.309,2.463,773.961,564.515,Monsoon
36.174,80.309,30027.736,2.439,449.753,622.361,Breeze
35.923,67.291,30876.702,2.312,175.243,958.592,Summer
34.38,69.74,30977.321,2.4,320.914,972.25,Breeze
26.371,44.345,30501.862,2.498,76.73,862.6,Monsoon
38.963,80.819,30314.611,2.362,123.71,625.356,Summer
35.59,59.94,30263.464,2.399,249.263,451.661,Breeze
35.287,85.894,30087.419,2.43,630.282,307.252,Breeze
25.896,48.3,30491.609,2.34,1092.387,581.01,Breeze
30.582,84.566,30050.14,2.441,932.784,411.068,Breeze
26.206,70.909,30503.837,2.432,121.878,165.47,Breeze
30.055,45.303,30252.548,2.375,931.308,528.599,Breeze
32.987,85.755,30476.432,2.357,603.853,613.978,Monsoon
37.304,43.61,30418.384,2.484,736.546,650.184,Breeze
28.961,75.151,30305.114,2.325,168.849,166.432,Monsoon
33.728,82.139,30448.638,2.386,453.121,534.799,Monsoon
27.305,50.736,30474.034,2.453,976.01,690.322,Breeze
29.955,58.108,30833.692,2.33,485.141,964.958,Summer
38.261,67.694,30665.783,2.487,166.011,122.541,Breeze
35.467,72.912,30433.157,2.405,362.851,708.654,Monsoon
32.641,81.363,30905.242,2.401,267.026,156.104,Breeze
28.524,76.487,30755.741,2.385,764.98,242.959,Breeze
30.316,58.987,30075.717,2.473,1004.8,255.977,Breeze
27.194,79.156,30153.746,2.49,814.834,395.985,Monsoon
29.949,85.507,30081.668,2.376,932.673,848.169,Monsoon
27.109,52.987,30318.863,2.408,892.225,870.614,Monsoon
36.134,46.26,30435.647,2.363,45.627,437.457,Summer
26.131,61.771,30504.246,2.374,163.076,488.173,Summer
27.652,81.781,30851.412,2.306,483.016,295.328,Summer
34.676,49.613,30017.956,2.457,149.936,489.262,Summer
37.635,81.975,30428.288,2.494,816.38,347.351,Breeze
38.504,86.657,30410.998,2.454,105.101,257.394,Summer
36.704,45.376,30947.476,2.404,475.379,242.621,Summer
27.961,64.791,30241.037,2.466,449.749,798.082,Summer
29,57.471,30122.406,2.472,611.487,205.252,Breeze
37.191,60.322,30142.26,2.409,703.434,654.431,Summer
37.451,62.872,30520.143,2.487,1043.243,250.734,Summer
33.969,75.547,30390.904,2.306,320.168,854.055,Summer
29.391,69.017,30754.142,2.302,742.603,347.02,Monsoon
28.137,85.293,30323.182,2.316,67.541,140.404,Summer
36.932,57.642,30127.962,2.312,31.077,506.866,Summer
27.874,66.826,30386.876,2.385,57.133,999.817,Summer
34.265,78.786,30883.036,2.488,510.336,831.823,Breeze
38.551,59.413,30405.527,2.435,623.864,613.236,Summer
34.874,63.473,30833.628,2.432,36.646,270.495,Summer
28.607,73.139,30371.53,2.377,454.16,205.755,Monsoon
28.955,80.873,30281.386,2.407,73.717,854.695,Monsoon
26.301,61.29,30774.863,2.361,729.014,808.937,Breeze
34.607,66.406,30209.235,2.404,705.418,515.97,Breeze
32.258,85.905,30231.831,2.449,869.077,479.269,Summer
27.891,44.869,30049.813,2.412,614.499,773.806,Monsoon
28.187,62.722,30187.846,2.384,696.556,582.434,Breeze
25.126,70.983,30378.815,2.469,328.979,463.752,Breeze
38.698,43.371,30399.573,2.357,121.436,326.549,Monsoon
36.592,69.259,30420.628,2.396,818.918,210.307,Summer
30.518,45.473,30479.693,2.496,684.694,635.314,Monsoon
38.245,80.733,30571.911,2.493,1034.015,843.444,Summer
34.48,78.512,30189.429,2.301,1088.472,771.565,Summer
35.52,44.419,30613.944,2.406,936.594,726.687,Monsoon
34.519,45.147,30336.555,2.367,1084.615,935.967,Summer
35.596,76.159,30734.011,2.358,722.768,455.065,Breeze
27.393,59.26,30557.204,2.419,128.386,223.496,Monsoon
32.874,68.301,30554.269,2.389,126.121,191.754,Breeze
36.891,54.894,30685.487,2.447,893.618,959.511,Summer
25.274,50.611,30333.019,2.305,283.441,630.068,Summer
26.728,56.027,30429.233,2.485,95.257,829.714,Monsoon
28.439,53.855,30582.898,2.414,535.334,582.004,Monsoon
29.126,62.726,30421.556,2.437,366.671,458.645,Summer
27.558,75.854,30444.257,2.421,659.32,280.243,Monsoon
33.741,67.382,30272.487,2.498,672.162,870.768,Summer
29.116,69.804,30287.385,2.497,759.206,157.164,Breeze
27.213,63.683,30698.957,2.422,646.793,910.21,Monsoon
37.682,57.288,30004.281,2.437,437.582,284.512,Breeze
34.73,49.314,30095.29,2.424,55.323,108.578,Monsoon
28.445,58.601,30948.81,2.362,998.445,193.507,Breeze
30.053,72.269,30187.018,2.339,379.806,895.158,Summer
35.371,75.286,30418.121,2.381,572.651,166.336,Summer
36.073,63.644,30849.685,2.437,625.923,419.717,Summer
27.47,71.38,30000.102,2.311,366.893,325.285,Summer
38.112,52.264,30925.179,2.403,360.075,133.169,Monsoon
35.994,80.843,30053.489,2.382,309.122,578.32,Breeze
36.995,81.101,30170.869,2.405,290.388,998.5,Monsoon
27.014,57.094,30029.104,2.472,62.523,867.707,Monsoon
27.007,67.099,30519.52,2.31,1054.969,252.003,Summer
29.275,69.693,30943.094,2.453,666.967,895.884,Monsoon
25.905,63.787,30839.037,2.433,145.632,506.614,Breeze
26.275,83.09,30639.749,2.341,663.396,345.925,Monsoon
27.005,75.548,30185.489,2.447,278.505,676.275,Breeze
34.974,72.59,30869.597,2.399,362.43,295.025,Summer
25.423,65.884,30754.775,2.396,887.25,891.687,Summer
26.165,46.733,30266.848,2.397,977.808,661.766,Monsoon
38.219,47.744,30805.089,2.49,778.812,222.42,Breeze
26.171,56.156,30877.151,2.489,1027.862,613.584,Summer
32.524,52.307,30698.226,2.483,998.379,559.334,Summer
33.996,84.911,30100.384,2.477,619.752,524.31,Monsoon
38.42,61.032,30984.247,2.308,1001.396,428.478,Breeze
37.597,81.571,30076.001,2.38,613.148,526.785,Summer
31.17,78.996,30654.474,2.479,141.573,627.41,Summer
38.19,78.753,30110.525,2.451,917.517,760.212,Breeze
31.052,52.491,30905.413,2.391,170.387,926.088,Monsoon
34.379,62.682,30349.978,2.455,368.077,139.946,Monsoon
28.635,56.99,30511.503,2.342,436.378,612.41,Summer
33.913,85.698,30178.762,2.42,893.796,776.777,Summer
32.535,81.577,30546.562,2.407,119.384,203.999,Monsoon
33.496,53.997,30938.84,2.415,506.087,920.348,Monsoon
34.557,56.795,30901.633,2.444,497.286,320.491,Summer
27.428,66.272,30063.896,2.49,652.911,849.999,Breeze
29.218,55.259,30378.259,2.353,408.64,695.806,Breeze
35.307,79.279,30267.431,2.452,647.564,603.592,Summer
27.294,79.046,30481.361,2.429,1084.907,882.318,Summer
29.819,74.871,30833.729,2.439,106.558,972.311,Summer
34.331,73.33,30738.852,2.386,965.852,997.418,Summer
38.127,67.081,30343.978,2.489,360.233,714.953,Monsoon
26.054,58.273,30382.666,2.396,528.317,405.218,Breeze
32.232,79.825,30654.255,2.324,822.996,887.229,Breeze
26.147,80.789,30194.225,2.436,1003.739,688.913,Breeze
30.308,45.178,30102.728,2.326,39.711,390.996,Monsoon
27.455,60.539,30242.588,2.365,738.546,939.128,Summer
34.092,44.172,30124.032,2.346,104.421,772.885,Breeze
35.61,79.937,30351.984,2.408,592.476,507.545,Breeze
28.463,50.792,30937.566,2.37,832.243,509.042,Monsoon
34.98,72.65,30120.299,2.332,211.402,996.336,Summer
31.255,58.725,30818.322,2.458,847.25,436.338,Summer
28.97,78.907,30534.648,2.394,361.206,184.673,Summer
32.328,65.426,30632.903,2.391,683.29,584.705,Breeze
30.315,57.274,30170.082,2.477,734.104,896.369,Monsoon
28.22,57.25,30151.373,2.408,724.409,626.068,Breeze
35.596,57.385,30162.744,2.442,49.843,813.779,Monsoon
36.165,77.697,30667.063,2.366,192.933,149.378,Monsoon
36.204,74.289,30747.788,2.412,946.137,706.055,Breeze
30.35,57.045,30920.245,2.445,1035.631,171.275,Monsoon
27.373,64.569,30398.192,2.359,633.125,600.721,Monsoon
36.766,46.351,30461.969,2.438,668.759,547.991,Monsoon
29.61,79.41,30469.595,2.414,837.883,951.044,Summer
35.473,54.702,30269.898,2.387,464.533,219.218,Summer
36.444,82.126,30328.233,2.443,380.977,108.542,Summer
35.754,69.259,30846.82,2.363,851.976,223.619,Summer
30.457,67.984,30343.722,2.443,60.266,253.636,Breeze
38.132,50.16,30869.096,2.41,977.321,325.82,Breeze
34.242,46.06,30305.268,2.349,501.766,833.58,Breeze
33.06,67.315,30339.883,2.434,569.525,439.193,Summer
34.771,63.592,30560.281,2.477,708.678,856.682,Breeze
25.626,48.266,30103.127,2.362,323.593,344.74,Summer
30.467,79.766,30922.062,2.462,669.205,874.487,Summer
37.337,61.359,30820.4,2.367,771.552,107.281,Monsoon
27.255,54.46,30670.504,2.464,156.187,941.082,Monsoon
30.802,77.684,30988.125,2.31,586.904,771.444,Summer
30.673,83.175,30015.999,2.301,382.48,471.457,Monsoon
29.985,56.462,30411.06,2.323,626.373,619.602,Monsoon
32.873,77.142,30858.343,2.475,52.785,939.715,Monsoon
38.947,71.711,30433.017,2.407,824.668,624.304,Monsoon
28.582,86.548,30005.241,2.419,210.193,305.712,Breeze
34.869,51.976,30157.754,2.468,767.644,615.587,Monsoon
35.612,85.27,30434.072,2.31,852.632,884.303,Summer
33.183,56.872,30667.948,2.377,835.295,988.705,Monsoon
26.365,61.126,30162.654,2.429,904.727,625.675,Monsoon
33.013,58.788,30448.043,2.381,359.287,240.081,Breeze
38.349,54.812,30012.789,2.306,1064.811,794.577,Breeze
29.789,73.502,30477.501,2.43,55.485,997.22,Breeze
33.956,68.922,30895.924,2.378,544.884,526.272,Monsoon
38.432,56.45,30596.768,2.304,319.205,445.359,Summer
36.172,48.817,30440.656,2.334,821.672,597.251,Breeze
34.636,56.965,30162.259,2.344,891.589,248.29,Monsoon
38.596,59.774,30202.419,2.402,909.96,974.155,Monsoon
27.388,59.749,30076.51,2.337,347.687,854.501,Monsoon
35.818,58.719,30742.411,2.372,323.33,201.692,Breeze
30.696,45.144,30077.135,2.45,754.321,950.573,Monsoon
30.046,63.417,30383.949,2.462,1023.157,948.538,Breeze
32.289,79.793,30749.845,2.459,302,384.719,Monsoon
25.473,50.936,30712.823,2.439,1004.342,657.228,Summer
29.375,49.409,30577.532,2.408,662.864,199.679,Summer
27.327,63.761,30571.308,2.41,819.594,175.772,Monsoon
26.942,59.307,30090.328,2.491,500.685,551.615,Breeze
29.723,67.696,30174.915,2.476,893.337,144.71,Monsoon
36.232,84.671,30534.744,2.43,1068.427,887.402,Summer
27.816,76.479,30348.08,2.394,212.516,935.286,Monsoon
32.44,73.231,30018.937,2.446,442.549,160.576,Breeze
35.481,61.301,30798.167,2.313,952.829,142.556,Breeze
28.374,55.644,30653.813,2.489,219.04,299.276,Breeze
37.939,66.772,30325.785,2.41,471.871,936.963,Breeze
37.131,81.96,30098.205,2.401,207.743,792.113,Summer
28.516,81.577,30591.201,2.358,723.754,708.848,Breeze
38.855,62.603,30348.55,2.301,285.001,798.712,Breeze
34.368,53.834,30255.389,2.312,437.458,279.529,Summer
29.005,52.915,30721.469,2.353,555.513,330.93,Breeze
34.535,44.495,30328.15,2.408,347.928,385.866,Summer
34.327,80.077,30136.048,2.317,757.494,644.559,Breeze
33.487,54.653,30481.654,2.494,149.037,647.398,Breeze
34.964,58.796,30828.466,2.382,971.387,287.747,Breeze
28.756,78.606,30849.659,2.363,545.034,493.054,Breeze
38.706,48.281,30849.343,2.405,642.911,721.018,Monsoon
37.011,63.294,30420.92,2.313,695.679,378.657,Monsoon
35.44,48.383,30790.934,2.47,93.86,167.929,Breeze
25.368,62.441,30850.231,2.392,839.98,277.651,Breeze
33.265,45.074,30459.538,2.336,1042.158,248.262,Breeze
34.891,65.775,30318.739,2.332,586.302,668.749,Monsoon
36.957,78.011,30701.965,2.372,448.23,161.694,Breeze
38.246,72.757,30904.469,2.415,869.732,896.275,Summer
37.822,65.403,30972.152,2.383,800.778,175.948,Monsoon
30.685,79.465,30290.225,2.419,726.544,638.119,Monsoon
37.551,53.023,30956.171,2.441,1062.926,936.579,Monsoon
25.01,79.555,30499.282,2.45,652.499,156.181,Breeze
29.921,55.16,30306.035,2.38,295.762,444.794,Summer
26.594,58.949,30988.398,2.443,56.5,395.151,Monsoon
37.363,48.651,30877.808,2.328,515.204,409.788,Summer
37.992,47.477,30692.417,2.403,727.986,640.28,Summer
28.584,84.013,30894.942,2.315,214.189,335.893,Summer
30.142,51.359,30681.488,2.349,57.567,124.591,Breeze
38.774,57.665,30440.404,2.417,1002.726,966.048,Breeze
32.925,66.283,30948.05,2.448,353.084,773.898,Breeze
31.959,58.306,30963.248,2.319,528.673,221.615,Monsoon
32.006,81.286,30314.175,2.341,127.446,509.641,Monsoon
34.747,82.631,30354.395,2.498,438.326,156.45,Summer
38.364,57.344,30382.72,2.368,483.437,125.071,Monsoon
30.133,47.049,30822.146,2.357,995.937,142.761,Breeze
27.417,52.247,30791.146,2.317,956.04,780.2,Breeze
27.59,63.873,30983.115,2.439,232.232,500.432,Breeze
25.285,55.693,30465.214,2.402,624.987,859.957,Breeze
32.776,62.953,30736.767,2.332,812.435,374.694,Summer
38.008,76.383,30856.72,2.427,342.28,797.79,Monsoon
34.983,61.508,30221.23,2.405,452.043,170.141,Breeze
38.902,51.668,30620.555,2.413,1083.823,671.597,Summer
37.733,58.751,30547.708,2.499,842.913,424.542,Monsoon
31.886,75.691,30742.827,2.306,497.783,349.052,Summer
31.812,61.659,30695.428,2.483,601.467,833.598,Breeze
33.797,53.98,30812.793,2.468,699.587,146.73,Breeze
26.553,61.806,30311.145,2.383,563.759,954.578,Breeze
33.508,63.011,30216.356,2.476,470.433,806.991,Monsoon
31.497,56.041,30805.199,2.43,414.504,420.048,Breeze
33.998,86.81,30360.563,2.478,210.81,992.2,Monsoon
32.913,76.776,30287.574,2.419,1071.775,282.24,Summer
29.346,73.468,30336.819,2.343,127.812,462.173,Monsoon
